filename	word	vowel	freq_f1	amp_f1	width_f1	freq_f2	amp_f2	width_f2	freq_f3	amp_f3	width_f3	freq_h1	amp_h1	freq_h2	amp_h2	amp_h3	amp_p0	freq_p0	p0_id	p0prominence	a1p0_h1	a1p0_h2	a1p0_h3	a1p0	a1p0_compensated	freq_p1	amp_p1	a1p1	a1p1_compensated	a3p0	vwl_amp_rms	vwl_duration	timepoint	point_time	point_vwlpct	attempted_fix	status	errorflag	initial_bi
T0055G0017S0080	n??2?	n?_0	313	54	70	1645	22.06	354	2758	22.38	539	156	45.39	313	54	41.1	54	313	H2	10.75	8.61	0	12.90431	0	4.48377	969	18.21	35.79	37.44185	-31.61802	0.093604787	60	1	1.78	0	None	Auto	A1isP0	n
T0055G0017S0080	n??2?	?2	281	54.26	338	1788	17.96	1091	2672	22.91	706	156	41.43	281	54.26	42	54.26	281	H2	12.55	12.83	0	12.25804	0	2.25462	1000	28.99	25.27	26.70303	-31.34631	0.095055005	70	1	1.84	0	None	Auto	A1isP0	n
T0055G0017S0080	l?uu4	l?_0	313	52.02	98	1403	27.17	297	2682	16.93	281	156	39.13	313	52.02	41.16	52.02	313	H2	11.88	12.89	0	10.85804	0	4.15719	1031	23.08	28.94	31.1069	-35.08623	0.067049276	90	1	2.66	0	None	Auto	A1isP0	l
T0055G0017S0080	l?uu4	uu4	375	46.4	258	1550	27.98	365	2700	23.34	417	156	-1.35	375	46.4	5.19	-1.35	156	H1	44.48	47.75	0	41.20754	47.75	49.86204	969	-2.29	48.69	50.55906	24.68598	0.069165806	120	1	2.75	0	None	Auto	None	l
T0055G0017S0081	l?ii3	l?	281	39.49	219	1645	21.81	167	2764	15.81	329	125	31.66	281	39.49	30.86	39.49	281	H2	8.24	7.83	0	8.63494	0	2.65049	969	9.9	29.59	31.25415	-23.68138	0.101303922	150	1	0.42	0	None	Auto	A1isP0	l
T0055G0017S0081	l?ii3	ii3	281	48.71	115	2007	20.54	594	2685	30.85	135	125	36.58	281	48.71	30.53	48.71	281	H2	15.15	12.13	0	18.18008	0	3.63939	969	15.63	33.08	34.46979	-17.86166	0.123189101	100	1	0.57	0	None	Auto	A1isP0	l
T0055G0017S0083	l?ee4	l?	313	49.77	97	1758	20.08	674	2730	22.19	432	156	39.25	313	49.77	39.56	49.77	313	H2	10.37	10.52	0	10.21094	0	4.10466	938	14.63	35.14	36.6343	-27.57526	0.089662917	60	1	1.55	0	None	Auto	A1isP0	l
T0055G0017S0083	l?ee4	ee4	313	50.44	193	1885	33.04	116	2699	31.36	215	156	41.04	313	50.44	35.62	50.44	313	H2	12.11	9.4	0	14.82284	0	2.87224	906	13.15	37.29	38.74908	-19.08365	0.085476349	130	1	1.61	0	None	Auto	A1isP0	l
T0055G0017S0083	l??4n	l?_0	406	47.65	253	1477	29.54	163	2622	26.91	254	125	35.8	250	43.49	47.65	43.49	250	H2	1.76	11.85	4.16	-0.00324	4.16	6.53418	1031	14.25	33.4	35.5213	-16.57805	0.085029945	40	1	1.97	0	None	Auto	None	l
T0055G0017S0083	l??4n	?4	406	52.05	31	1801	29.14	169	2632	24.03	398	125	34.43	281	45.03	52.05	45.03	281	H2	1.79	17.62	7.02	0.0042	7.02	9.96745	938	12.45	39.6	41.19625	-21.00437	0.083216729	60	1	2.01	0	None	Auto	None	l
T0055G0017S0086	l?i2n	l?	313	52.66	51	2012	19.24	536	2714	32.97	177	156	43.31	313	52.66	35.66	52.66	313	H2	13.18	9.35	0	17.00103	0	6.03877	969	17.81	34.85	36.26629	-19.68588	0.05808577	90	1	0.63	0	None	Auto	A1isP0	l
T0055G0017S0086	l?i2n	i2	313	50.55	61	2080	28.08	266	2752	31.5	210	156	38.54	313	50.55	40.33	50.55	313	H2	11.12	12.01	0	10.22383	0	5.10191	938	10.48	40.07	41.47907	-19.05005	0.059423563	100	1	0.72	0	None	Auto	A1isP0	l
T0055G0017S0087	l??u3	l?	313	50.71	100	1307	25.52	328	3047	17.52	352	156	38.64	313	50.71	37.82	50.71	313	H2	12.48	12.07	0	12.88777	0	4.34302	1031	23.7	27.01	29.42925	-33.19319	0.062276829	60	1	1.49	0	None	Auto	A1isP0	l
